Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)F(1)N(1)H(1)	C28H46N2O19	733.2878673069	735.3035173069	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	N(2)H(2)	C28H46N2O20	731.272221929	731.272221929	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)F(1)N(1)H(2)	C34H56N2O24	895.3406907384001	897.3563407383999	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)N(2)H(2)	C36H59N3O25	952.362154462	954.3778044620001	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	F(1)	C6H10N0O4	147.06573880940002	147.06573880940002	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)	C8H13N1O5	222.097762533	224.113412533	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)	C8H13N1O5	204.087202533	204.087202533	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	H(2)	C12H20N0O10	325.113476863	325.113476863	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)	C14H23N1O9	368.1556713424	370.1713213424	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	H(3)	C18H30N0O15	487.16630029450005	487.16630029450005	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)	C22H36N2O14	571.2350438754	573.2506938754	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)H(1)	C28H46N2O19	733.2878673069	735.3035173069	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)H(3)	C26H43N1O20	690.2456728275	690.2456728275	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)H(2)	C34H56N2O24	895.3406907384001	897.3563407383999	1
3_2_1_0_b	(J(F)(N(H(H)(H))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)H(3)	C34H56N2O25	911.3356053605	913.3512553605001	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	F(1)	C6H10N0O4	147.06573880940002	147.06573880940002	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)	C8H13N1O5	222.097762533	224.113412533	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	N(1)	C8H13N1O5	204.087202533	204.087202533	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	X(1)	C5H8N0O4	133.05008874520001	133.05008874520001	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	H(2)	C12H20N0O10	325.113476863	325.113476863	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	H(1)X(1)	C11H18N0O9	295.1029121767	295.1029121767	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)F(1)	C14H23N1O9	368.1556713424	370.1713213424	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
